msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02002559,121,148,38,147,76,48,53,8
E02002560,28,61,38,54,99,67,91,7
E02002561,53,85,40,43,90,63,83,6
E02002562,19,43,17,39,72,77,111,19
E02002563,31,69,26,39,114,68,105,27
E02002564,40,92,41,80,152,114,178,10
E02002565,27,53,29,31,56,43,71,5
E02002566,22,36,15,32,45,71,90,21
E02002567,32,66,37,48,117,100,155,14
E02002568,141,157,46,78,41,35,36,4
E02002569,273,358,93,145,167,69,64,7
E02002570,19,67,41,73,107,95,142,55
E02002571,19,51,22,49,76,85,124,18
E02002572,38,60,18,40,41,55,76,10
E02002573,162,172,43,107,89,61,78,11
E02004290,64,94,40,43,97,49,67,0
E02004291,39,55,26,46,91,87,134,20
E02004292,138,212,69,99,125,83,134,4
E02004293,34,96,47,44,123,132,242,35
E02004294,109,176,54,73,122,57,91,9
E02004295,69,145,52,62,119,43,125,21
E02004296,38,104,37,69,90,96,203,19
E02004297,76,136,35,91,91,83,157,13
E02004298,145,191,40,116,108,87,170,13
E02004299,46,117,39,64,103,100,178,21
E02004300,30,86,27,56,118,96,217,13
E02004301,16,37,14,39,80,98,262,50
E02004302,21,51,36,45,111,93,197,7
E02004303,37,121,44,68,138,137,285,26
E02004304,33,73,28,65,122,108,236,35
E02004305,48,90,35,76,90,84,187,11
E02004306,88,156,39,74,64,44,120,8
E02004307,50,65,22,69,62,53,159,6
E02004308,125,208,83,53,52,49,62,6
E02004309,56,112,44,29,71,50,118,10
E02004310,75,112,26,66,92,75,162,13
E02004311,77,101,35,109,96,69,232,9
E02004312,159,285,75,71,87,108,95,11
E02004313,28,58,18,32,56,64,144,9
E02004314,117,94,17,28,31,19,43,11
E02004315,230,193,25,52,46,33,48,5
E02004316,43,61,24,46,72,62,131,8
E02004317,47,101,32,62,106,92,177,10
E02004318,92,98,25,48,57,55,98,25
E02004319,46,83,22,57,136,48,229,9
E02004320,51,93,48,59,150,50,243,27
E02004321,31,63,39,45,134,48,247,20
E02004322,22,53,24,34,131,60,336,18
E02004323,30,59,31,33,126,53,219,18
E02004324,38,52,13,58,100,30,213,4
E02004325,18,52,16,31,103,52,246,26
E02004326,21,42,20,48,100,48,217,18
E02004327,15,41,16,39,94,65,282,8
E02004328,29,75,32,38,100,79,154,2
E02004329,72,100,27,49,100,45,131,5
E02004330,38,81,17,51,129,55,234,10
E02004331,20,40,15,60,117,74,253,25
E02004332,39,57,24,54,78,53,175,10
E02004333,64,110,35,68,117,101,159,3
E02004334,20,85,37,51,116,72,172,7
E02004335,24,44,10,43,85,82,166,12
E02004336,30,77,29,68,147,84,248,22
E02004337,47,110,31,76,122,86,212,8
E02004338,23,84,28,58,101,81,148,12
E02004339,133,187,34,101,76,44,84,6
E02004340,35,84,40,78,187,121,285,38
E02004341,106,112,37,53,90,64,102,10
E02004342,9,25,12,25,54,67,97,10
E02004343,28,63,16,29,97,106,114,11
E02004344,76,96,28,63,152,100,150,12
E02004345,151,222,50,273,171,110,275,32
E02004346,100,96,21,202,47,27,63,5
E02004347,92,149,42,127,90,62,109,11
E02004348,123,151,32,188,106,73,170,14
E02004349,30,94,37,99,112,109,226,15
E02004350,70,144,46,128,126,86,186,10
E02004351,31,78,16,61,84,96,173,54
E02004352,50,92,35,70,94,76,138,23
E02004353,98,130,42,79,126,80,110,27
E02004354,43,100,30,84,88,92,171,14
E02004355,24,52,23,40,90,95,170,14
E02002483,41,108,27,51,138,81,167,13
E02002484,23,68,31,71,156,98,236,40
E02002485,10,73,14,29,116,102,195,25
E02002487,7,29,11,27,45,46,98,8
E02002488,89,114,34,60,93,47,66,14
E02002489,34,66,22,34,86,67,136,28
E02002490,17,38,16,28,81,50,104,13
E02002491,20,67,23,42,124,105,173,26
E02002492,22,51,22,47,105,70,155,16
E02002493,36,134,35,61,158,66,125,6
E02002494,21,62,17,35,109,90,148,32
E02006909,168,266,55,153,214,115,170,10
E02002496,14,42,14,45,54,54,126,31
E02002497,8,23,9,12,59,59,165,17
E02002498,6,23,9,27,60,72,136,20
E02002499,7,26,15,18,80,74,183,20
E02002500,26,44,14,28,54,51,75,16
E02002501,13,34,9,29,65,48,88,21
E02002502,19,64,21,38,141,117,238,34
E02002503,12,26,16,27,77,61,123,8
E02002504,74,129,31,70,93,59,97,9
E02002505,7,24,14,9,69,46,119,13
E02002506,11,32,17,22,71,51,111,50
E02002507,91,133,33,45,86,55,72,4
E02002508,65,108,46,66,107,53,84,5
E02002509,33,52,26,32,83,59,109,7
E02002510,75,110,43,43,131,72,141,14
E02002512,131,124,30,54,81,26,49,3
E02002513,64,106,24,65,106,75,161,24
E02002514,33,75,31,64,91,82,124,28
E02006811,245,273,57,96,133,52,86,10
E02005702,159,189,52,128,69,53,63,6
E02005703,58,85,47,78,104,53,105,15
E02005704,183,270,66,210,179,103,235,26
E02005705,191,177,43,238,74,63,74,19
E02005706,77,130,48,144,121,130,185,21
E02005707,132,186,33,176,102,93,105,14
E02005708,184,273,54,339,131,160,169,14
E02005709,15,34,16,36,67,72,202,33
E02005710,41,94,35,62,112,72,158,25
E02005711,25,89,32,52,136,129,210,11
E02005712,27,61,29,56,104,73,125,8
E02005713,54,117,38,45,75,67,69,1
E02005714,45,61,29,20,34,11,26,3
E02005715,59,91,45,53,111,122,151,7
E02005716,26,76,37,41,96,104,157,12
E02005717,102,195,52,89,127,81,158,15
E02005718,83,165,67,62,121,78,124,4
E02005719,51,121,39,62,114,75,153,11
E02005720,99,151,40,126,194,134,264,20
